,d,beta,c,Ad
162329,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
162733,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
162935,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
163129,2.5631031310892007,1.0,-0.0,0.9650368366397468
163432,2.5631031310892007,1.0,-0.0,0.9650368366397468
163836,2.117770946477709,0.8239053639971495,-0.09146390713715341,0.932867122803402
164030,2.5631031310892007,1.0,-0.0,0.9650368366397468
164131,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
164939,1.2815515655446004,0.4399090809725481,-0.6407757827723002,0.8175833586070742
165032,1.9919706139489222,0.7352911777136898,-0.15436407340154684,0.9205137821181946
165436,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
165638,2.5631031310892007,1.0,-0.0,0.9650368366397468
165840,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
165941,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
166438,2.5631031310892007,1.0,-0.0,0.9650368366397468
167036,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
167238,2.5631031310892007,1.0,-0.0,0.9650368366397468
167743,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
168240,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
168745,2.5631031310892007,1.0,-0.0,0.9650368366397468
168947,2.5631031310892007,1.0,-0.0,0.9650368366397468
169040,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
169343,0.43072729929545744,0.9114094758506123,-0.21536364964772872,0.619653238157228
169444,2.5631031310892007,1.0,-0.0,0.9650368366397468
169545,2.5631031310892007,1.0,-0.0,0.9650368366397468
169747,1.9919706139489222,0.7352911777136898,-0.15436407340154684,0.9205137821181946
169949,2.5631031310892007,1.0,-0.0,0.9650368366397468
170631,2.5631031310892007,1.0,-0.0,0.9650368366397468
170934,2.117770946477709,0.8239053639971495,-0.09146390713715341,0.932867122803402
171532,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
171633,2.2489731316463013,1.4236656147259543,0.15706499972144966,0.9441123622812186
171734,2.5631031310892007,1.0,-0.0,0.9650368366397468
172130,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
172332,2.5631031310892007,1.0,-0.0,0.9650368366397468
172433,2.5631031310892007,1.0,-0.0,0.9650368366397468
172534,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
172635,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
173435,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
173536,1.9919706139489222,0.7352911777136898,-0.15436407340154684,0.9205137821181946
173637,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
173839,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
173940,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
174437,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
174841,2.5631031310892007,1.0,-0.0,0.9650368366397468
175136,2.5631031310892007,1.0,-0.0,0.9650368366397468
175237,2.5631031310892007,1.0,-0.0,0.9650368366397468
175742,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
176037,2.3006987607520157,1.0,-0.0,0.948114425737803
176239,2.5631031310892007,1.0,-0.0,0.9650368366397468
176441,2.5631031310892007,1.0,-0.0,0.9650368366397468
176542,2.2489731316463013,1.4236656147259543,0.15706499972144966,0.9441123622812186
176744,2.5631031310892007,1.0,-0.0,0.9650368366397468
176845,2.5631031310892007,1.0,-0.0,0.9650368366397468
177140,1.2815515655446004,0.4399090809725481,-0.6407757827723002,0.8175833586070742
177241,2.5631031310892007,1.0,-0.0,0.9650368366397468
177645,2.5631031310892007,1.0,-0.0,0.9650368366397468
177746,2.5631031310892007,1.0,-0.0,0.9650368366397468
178142,2.5631031310892007,1.0,-0.0,0.9650368366397468
178243,1.8090427996746152,1.1205157752048598,0.06290016626439338,0.8995842935450682
178647,2.5631031310892007,1.0,-0.0,0.9650368366397468
178748,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
178849,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
178950,2.5631031310892007,1.0,-0.0,0.9650368366397468
179245,1.956041315740682,1.8107099320257567,0.30353090767425933,0.916687507820483
179548,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
180129,1.2815515655446004,0.4399090809725481,-0.6407757827723002,0.8175833586070742
180230,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
180432,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
180533,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
180735,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
180836,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
180937,2.5631031310892007,1.0,-0.0,0.9650368366397468
182032,2.5631031310892007,1.0,-0.0,0.9650368366397468
182436,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
182739,1.5348986686804,0.45425578784716697,-0.5141022312044004,0.8611138448309655
183034,1.6832424671458286,0.9999999999999999,-5.551115123125783e-17,0.8830224224435198
183741,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
185038,2.5631031310892007,1.0,-0.0,0.9650368366397468
185341,1.6832424671458286,0.9999999999999999,-5.551115123125783e-17,0.8830224224435198
185442,2.5631031310892007,1.0,-0.0,0.9650368366397468
185947,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
186040,2.5631031310892007,1.0,-0.0,0.9650368366397468
186141,1.5810766796714655,0.5661541742028413,-0.35981104054027513,0.868214376759882
186444,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
186949,1.3489795003921634,1.0,-0.0,0.8299259206996668
187143,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
187547,2.3006987607520157,1.0,-0.0,0.948114425737803
187850,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
188347,1.9919706139489222,1.3600054377225008,0.1543640734015468,0.9205137821181946
188448,2.5631031310892007,1.0,-0.0,0.9650368366397468
188549,2.5631031310892007,1.0,-0.0,0.9650368366397468
188751,2.5631031310892007,1.0,-0.0,0.9650368366397468
189450,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
189652,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
191033,2.5631031310892007,1.0,-0.0,0.9650368366397468
191336,2.5631031310892007,1.0,-0.0,0.9650368366397468
191437,2.5631031310892007,1.0,-0.0,0.9650368366397468
191942,2.5631031310892007,1.0,-0.0,0.9650368366397468
192035,1.516110983768996,1.1350706989765453,0.08356574168841624,0.8581517419970113
192237,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
192540,2.5631031310892007,1.0,-0.0,0.9650368366397468
192641,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
192843,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
193239,2.5631031310892007,1.0,-0.0,0.9650368366397468
193845,2.5631031310892007,1.0,-0.0,0.9650368366397468
194140,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
194443,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
194645,2.3006987607520157,1.0,-0.0,0.948114425737803
194746,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
194847,2.5631031310892007,1.0,-0.0,0.9650368366397468
195041,2.5631031310892007,1.0,-0.0,0.9650368366397468
195647,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
195849,2.5631031310892007,1.0,-0.0,0.9650368366397468
196144,2.117770946477709,1.2137316295023657,0.09146390713715341,0.932867122803402
196346,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
196750,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
196851,1.5348986686804,2.2014028808289994,0.5141022312044004,0.8611138448309655
196952,2.5631031310892007,1.0,-0.0,0.9650368366397468
197348,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
197550,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
197651,2.5631031310892007,1.0,-0.0,0.9650368366397468
198047,2.5631031310892007,1.0,-0.0,0.9650368366397468
198249,2.5631031310892007,1.0,-0.0,0.9650368366397468
198350,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
198451,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
198653,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
198855,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
199251,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
199352,2.5631031310892007,1.0,-0.0,0.9650368366397468
199453,2.5631031310892007,1.0,-0.0,0.9650368366397468
199655,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
199958,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
200008,2.5631031310892007,1.0,-0.0,0.9650368366397468
200109,2.2489731316463013,1.4236656147259543,0.15706499972144966,0.9441123622812186
200210,2.5631031310892007,1.0,-0.0,0.9650368366397468
200311,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
200513,2.5631031310892007,1.0,-0.0,0.9650368366397468
200614,2.5631031310892007,1.0,-0.0,0.9650368366397468
200917,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
201111,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
201414,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
201515,1.712278864840058,0.48266897879461257,-0.4254121331245714,0.8870070663184544
201818,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
202113,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
202719,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
202820,0.6840744024312573,1.0625488804052512,0.08869009807982892,0.6857054473263375
203418,2.5631031310892007,1.0,-0.0,0.9650368366397468
203923,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
204016,2.5631031310892007,1.0,-0.0,0.9650368366397468
204218,1.5348986686804,2.2014028808289994,0.5141022312044004,0.8611138448309655
204319,2.5631031310892007,1.0,-0.0,0.9650368366397468
204521,1.5348986686804,0.45425578784716697,-0.5141022312044004,0.8611138448309655
204622,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
205119,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
205220,2.5631031310892007,1.0,-0.0,0.9650368366397468
205725,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
205826,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
206222,2.5631031310892007,1.0,-0.0,0.9650368366397468
206323,1.9919706139489222,0.7352911777136898,-0.15436407340154684,0.9205137821181946
206525,2.5631031310892007,1.0,-0.0,0.9650368366397468
206727,2.5631031310892007,1.0,-0.0,0.9650368366397468
206828,2.5631031310892007,1.0,-0.0,0.9650368366397468
206929,2.5631031310892007,1.0,-0.0,0.9650368366397468
207123,2.5631031310892007,1.0,-0.0,0.9650368366397468
207426,2.5631031310892007,1.0,-0.0,0.9650368366397468
208024,2.117770946477709,1.2137316295023657,0.09146390713715341,0.932867122803402
208125,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
208327,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
208428,1.094968336708714,1.3799824380904808,0.2941370652185572,0.7806113363624718
208630,1.5348986686804,0.45425578784716697,-0.5141022312044004,0.8611138448309655
209127,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
209228,2.3006987607520157,1.0,-0.0,0.948114425737803
209329,2.5631031310892007,1.0,-0.0,0.9650368366397468
209834,2.5631031310892007,1.0,-0.0,0.9650368366397468
209935,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
210011,2.5631031310892007,1.0,-0.0,0.9650368366397468
210112,2.5631031310892007,1.0,-0.0,0.9650368366397468
210415,2.3006987607520157,1.0,-0.0,0.948114425737803
210617,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
211114,1.4036964835118075,0.5328264747565427,-0.4485011386201041,0.8395385919483802
211316,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
211417,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
211821,2.5631031310892007,1.0,-0.0,0.9650368366397468
211922,2.5631031310892007,1.0,-0.0,0.9650368366397468
212116,2.5631031310892007,1.0,-0.0,0.9650368366397468
212318,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
212419,2.5631031310892007,1.0,-0.0,0.9650368366397468
212823,2.5631031310892007,1.0,-0.0,0.9650368366397468
213017,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
213421,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
214423,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
214625,2.5631031310892007,1.0,-0.0,0.9650368366397468
214726,2.5631031310892007,1.0,-0.0,0.9650368366397468
217126,2.5631031310892007,1.0,-0.0,0.9650368366397468
217429,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
219231,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
220721,1.094968336708714,0.7246469030314089,-0.2941370652185573,0.7806113363624718
223929,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
227533,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
228434,2.5631031310892007,1.0,-0.0,0.9650368366397468
231928,2.5631031310892007,1.0,-0.0,0.9650368366397468
236130,2.5631031310892007,1.0,-0.0,0.9650368366397468
237334,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
238033,2.5631031310892007,1.0,-0.0,0.9650368366397468
239136,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
239944,2.5631031310892007,1.0,-0.0,0.9650368366397468
245333,2.5631031310892007,1.0,-0.0,0.9650368366397468
246133,2.5631031310892007,1.0,-0.0,0.9650368366397468
248238,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
248339,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
249947,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
250427,1.712278864840058,0.48266897879461257,-0.4254121331245714,0.8870070663184544
250932,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
251833,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
255639,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
255740,2.5631031310892007,1.0,-0.0,0.9650368366397468
256540,2.3006987607520157,1.0,-0.0,0.948114425737803
257542,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
257946,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
263436,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
268749,2.5631031310892007,1.0,-0.0,0.9650368366397468
268850,1.9919706139489222,1.3600054377225008,0.1543640734015468,0.9205137821181946
270332,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
274542,1.6832424671458286,0.9999999999999999,-5.551115123125783e-17,0.8830224224435198
275645,2.5631031310892007,1.0,-0.0,0.9650368366397468
280941,2.5631031310892007,1.0,-0.0,0.9650368366397468
281135,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
283543,2.5631031310892007,1.0,-0.0,0.9650368366397468
286347,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
286650,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
290136,2.5631031310892007,1.0,-0.0,0.9650368366397468
293748,2.5631031310892007,1.0,-0.0,0.9650368366397468
295146,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
297655,2.5631031310892007,1.0,-0.0,0.9650368366397468
298051,2.5631031310892007,1.0,-0.0,0.9650368366397468
298455,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
299154,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
299760,2.5631031310892007,1.0,-0.0,0.9650368366397468
300719,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
303119,2.3006987607520157,1.0,-0.0,0.948114425737803
303624,2.5631031310892007,1.0,-0.0,0.9650368366397468
304020,1.5348986686804,0.45425578784716697,-0.5141022312044004,0.8611138448309655
304727,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
305830,2.5631031310892007,1.0,-0.0,0.9650368366397468
307127,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
308331,2.5631031310892007,1.0,-0.0,0.9650368366397468
309636,2.5631031310892007,1.0,-0.0,0.9650368366397468
310621,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
316633,2.5631031310892007,1.0,-0.0,0.9650368366397468
316835,2.5631031310892007,1.0,-0.0,0.9650368366397468
321323,2.3006987607520157,1.0,-0.0,0.948114425737803
322224,2.5631031310892007,1.0,-0.0,0.9650368366397468
325129,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
329844,2.5631031310892007,1.0,-0.0,0.9650368366397468
330324,2.5631031310892007,1.0,-0.0,0.9650368366397468
333330,2.5631031310892007,1.0,-0.0,0.9650368366397468
336841,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
339847,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
346137,2.5631031310892007,1.0,-0.0,0.9650368366397468
346945,1.956041315740682,1.8107099320257567,0.30353090767425933,0.916687507820483
348545,2.5631031310892007,1.0,-0.0,0.9650368366397468
349244,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
350330,2.5631031310892007,1.0,-0.0,0.9650368366397468
351938,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
352132,2.5631031310892007,1.0,-0.0,0.9650368366397468
352738,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
353740,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
355239,2.5631031310892007,1.0,-0.0,0.9650368366397468
356948,1.4036964835118075,0.5328264747565427,-0.4485011386201041,0.8395385919483802
358144,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
360030,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
361234,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
361941,2.5631031310892007,1.0,-0.0,0.9650368366397468
