subj_idx,stim,movie,rt,response,run,accuracy,logRT
561949,Random,BILLIARD-A.AVI,1.219,0,0,1.0,0.19803085049913455
561949,Random,DRIFTING-A.AVI,0.693,0,0,1.0,-0.3667252797922339
561949,Mental,Fishing.AVI,1.096,1,0,1.0,0.09166718852582387
561949,Random,Random mechanical.AVI,0.796,0,0,1.0,-0.22815609313775398
146634,Mental,Scaring.AVI,1.039,1,1,1.0,0.03825871211709027
146634,Mental,SEDUCING-B.AVI,0.743,1,1,1.0,-0.2970592342643779
146634,Random,STAR-A.AVI,1.426,0,1,1.0,0.35487332199210414
146634,Mental,SURPRISING-B.AVI,0.99,1,1,1.0,-0.01005033585350145
146634,Random,TENNIS-A.AVI,0.89,0,1,1.0,-0.11653381625595151
173839,Mental,Scaring.AVI,0.886,1,1,1.0,-0.1210383283770561
173839,Mental,SEDUCING-B.AVI,0.874,1,1,1.0,-0.1346749033266016
173839,Random,STAR-A.AVI,0.887,0,1,1.0,-0.11991029667255755
173839,Mental,SURPRISING-B.AVI,0.715,1,1,1.0,-0.33547273628812946
445543,Mental,COAXING-B.AVI,2.54,1,0,1.0,0.9321640810304452
445543,Random,BILLIARD-A.AVI,1.495,0,0,1.0,0.4021262068426498
445543,Random,DRIFTING-A.AVI,1.279,0,0,1.0,0.24607852259670557
445543,Mental,Fishing.AVI,1.435,1,0,1.0,0.3611648492115845
445543,Random,Random mechanical.AVI,1.368,1,0,0.0,0.3133498192003588
727553,Mental,SEDUCING-B.AVI,0.62,1,1,1.0,-0.4780358009429998
727553,Random,STAR-A.AVI,0.487,0,1,1.0,-0.7194911558995473
727553,Mental,SURPRISING-B.AVI,0.562,1,1,1.0,-0.5762534290884459
788674,Mental,Scaring.AVI,0.856,1,1,1.0,-0.15548490284039498
788674,Mental,SEDUCING-B.AVI,0.811,1,1,1.0,-0.20948722486672405
788674,Random,STAR-A.AVI,0.438,0,1,1.0,-0.8255363686056909
788674,Mental,SURPRISING-B.AVI,0.777,1,1,1.0,-0.25231492861448956
788674,Random,TENNIS-A.AVI,0.672,0,1,1.0,-0.3974969384589874
992673,Mental,COAXING-B.AVI,1.313,1,0,1.0,0.2723145953206591
992673,Random,BILLIARD-A.AVI,0.709,0,0,1.0,-0.3438997524500096
992673,Random,DRIFTING-A.AVI,1.387,0,0,1.0,0.32714314133269456
992673,Mental,Fishing.AVI,1.915,1,0,1.0,0.6497176226326093
992673,Random,Random mechanical.AVI,1.497,0,0,1.0,0.40346310543749137
194645,Mental,Scaring.AVI,1.003,1,1,1.0,0.002995508979798371
194645,Mental,SEDUCING-B.AVI,0.697,1,1,1.0,-0.36096986822161325
194645,Random,STAR-A.AVI,0.556,0,1,1.0,-0.5869869847315546
194645,Mental,SURPRISING-B.AVI,0.837,1,1,1.0,-0.17793120849266178
194645,Random,TENNIS-A.AVI,1.727,0,1,1.0,0.5463857991645416
158035,Mental,Scaring.AVI,0.674,1,1,1.0,-0.39452516806982996
158035,Mental,SEDUCING-B.AVI,0.532,1,1,1.0,-0.6311117896404926
158035,Random,STAR-A.AVI,0.511,0,1,1.0,-0.6713856887784326
158035,Mental,SURPRISING-B.AVI,0.514,1,1,1.0,-0.6655320135269719
158035,Random,TENNIS-A.AVI,0.688,0,1,1.0,-0.37396644104879345
414229,Mental,Scaring.AVI,1.013,1,1,1.0,0.01291622526654623
414229,Mental,SEDUCING-B.AVI,0.595,1,1,1.0,-0.5191938734365074
414229,Random,STAR-A.AVI,1.178,0,1,1.0,0.16381808522939492
414229,Mental,SURPRISING-B.AVI,0.815,1,1,1.0,-0.2045671657412744
414229,Random,TENNIS-A.AVI,2.975,0,1,1.0,1.0902440389975931
753251,Mental,COAXING-B.AVI,1.107,1,0,1.0,0.10165365372649982
753251,Random,BILLIARD-A.AVI,1.947,0,0,1.0,0.6662897263900627
753251,Random,DRIFTING-A.AVI,1.823,0,0,1.0,0.6004834956965259
753251,Mental,Fishing.AVI,2.509,0,0,0.0,0.9198842673842852
753251,Random,Random mechanical.AVI,0.95,0,0,1.0,-0.05129329438755058
635245,Mental,Scaring.AVI,0.755,1,1,1.0,-0.28103752973311236
635245,Mental,SEDUCING-B.AVI,0.961,1,1,1.0,-0.0397808700118446
635245,Mental,SURPRISING-B.AVI,0.866,1,1,1.0,-0.1438703704197019
635245,Random,TENNIS-A.AVI,1.313,0,1,1.0,0.2723145953206591
159340,Mental,COAXING-B.AVI,0.793,1,0,1.0,-0.23193205734728903
159340,Random,BILLIARD-A.AVI,1.675,0,0,1.0,0.5158131652770298
159340,Random,DRIFTING-A.AVI,1.426,0,0,1.0,0.35487332199210414
159340,Mental,Fishing.AVI,0.687,1,0,1.0,-0.37542098675978763
159340,Random,Random mechanical.AVI,0.678,0,0,1.0,-0.38860799104174143
154734,Mental,COAXING-B.AVI,1.291,1,0,1.0,0.2554171118645054
